Name,Address 1,Address 2,"City, State Zipcode",License No,Issue Date,Expiration Date,
1st America Infusion Services LLC dba Advanced InfusionCare,10 Warren Rd,Suite220,Cockeysville MD  21030,P08643,08/23/2022,05/31/2024,
ABH Pharmacy & Medical Supplies,219 S COLLINS AVENUE,,BALTIMORE MD  21229,P02613,06/27/2001,05/31/2024,
Absolute Care Pharmacy,1040  Park Avenue,Suite 200,Baltimore MD  21201,P08384,01/14/2021,05/31/2024,
"AbsoluteCARE of MD2, LLC",7501 Greenway Center Dr,Suite 600,Greenbelt MD  20770,P08380,01/07/2021,05/31/2024,
ACCOKEEK DRUG AND HEALTH CARE INC,15789 LIVINGSTON RD,SUITE 108,ACCOKEEK MD  20607,P02491,06/15/2000,05/31/2024,
"Acme Markets Inc, dba Sav-on Pharmacy #2862",101 BIG ELK MALL,,ELKTON MD  21921,P01945,01/03/1996,05/31/2024,
Advanced Pharmacy,8910  Route 108,Suite C,Columbia MD  21045,PW0476,07/02/2015,05/31/2024,
Adventist Healthcare Fort Washington Medical Center Inc,11711 LIVINGSTON ROAD,,FT WASHINGTON MD  20744,P08172,11/05/2019,05/31/2024,
Adventist HealthCare White Oak Medical Center,11890 Healing Way,,Silver Spring MD  20904,P08069,07/02/2019,05/31/2024,
Adventist Healthcare White Oak Medical Center-Takoma Park,7600 Carroll Avenue,,Takoma Park MD  20912,P08274,06/12/2020,05/31/2024,
"ADVENTIST HEALTHCARE, INC dba Shady Grove Medical Center",9901 Medical Center Drive,,Rockville MD  20850,P00847,04/18/1978,05/31/2024,
ADVENTIST REHABILITATION HOSPITAL,9909 MEDICAL CENTER DR,,ROCKVILLE MD  20850,P02549,01/08/2001,05/31/2024,
AGBI'S  COMPOUNDING  PHARMACY  LLC,605 Reisterstown Rd,,Pikesville MD  21208,PW0469,01/21/2015,05/31/2024,
AGH REDISCRIPTS PHARMACY,9733 HEALTHWAY DRIVE,,Berlin MD  21811,P06310,04/11/2014,05/31/2024,
AHF Pharmacy,11 E Lexington Street,,Baltimore MD  21202,P08109,07/17/2019,05/31/2024,
Albright Pharmacy  Services,333 Russell Avenue,,Gaithersburg MD  20877,PW0538,01/27/2022,05/31/2024,
ALCO PHARMACY,11435 Cronhill Drive,Suite A,OWINGS MILLS MD  21117,PW0249,04/28/2004,05/31/2024,
ALFA SPECIALTY PHARMACY,8940 ROUTE 108,SUITE B,COLUMBIA MD  21045,PW0300,04/18/2007,05/31/2024,
All Saints Pharmacy,9105 All Saints Road,Suite M,Laurel MD  20723,P08664,10/18/2022,05/31/2024,
ALLCARE  PHARMACY,6196  OXON  HILL  ROAD,SUITE 130,Oxon Hill MD  20745,P06450,08/14/2014,05/31/2024,
Allentown DiscountRx,7069 Allentown Road,,Temple Hills MD  20748,P07964,11/16/2018,05/31/2024,
Alliance Pharmacy Plus,3400 Annapolis Road,,Baltimore MD  21227,P08533,02/01/2022,05/31/2024,
Alliance Pharmacy Plus Takoma Park,1101 University Blvd E,,Takoma Park MD  20912,P08674,11/17/2022,05/31/2024,
ALLIED PHARMACEUTICAL,1201 SEVEN LOCKS ROAD,SUITE 203,ROCKVILLE MD  20854,PW0151,09/27/1995,05/31/2024,
Allied Pharmacy,15200  SHADY GROVE RD,SUITE 101,Rockville MD  20850,P07686,12/13/2017,05/31/2024,
ALPHA HEALTHCARE LLC,3061 FREDERICK AVE,Suite C,Baltimore MD  21223,P06876,06/17/2015,05/31/2024,
