,Name,Address 1,Address 2,"City, State Zipcode",License No,Issue Date,Expiration Date,Unnamed: 7,lat,long,accuracy,lng
0,1st America Infusion Services LLC dba Advanced InfusionCare,10 Warren Rd,Suite220,Cockeysville MD  21030,P08643,08/23/2022,05/31/2024,,39.475126,,1,-76.639978
1,ABH Pharmacy & Medical Supplies,219 S COLLINS AVENUE,,BALTIMORE MD  21229,P02613,06/27/2001,05/31/2024,,39.282726,,0.9,-76.6837
2,Absolute Care Pharmacy,1040  Park Avenue,Suite 200,Baltimore MD  21201,P08384,01/14/2021,05/31/2024,,39.303676,,1,-76.619888
3,"AbsoluteCARE of MD2, LLC",7501 Greenway Center Dr,Suite 600,Greenbelt MD  20770,P08380,01/07/2021,05/31/2024,,38.990138,,1,-76.879999
4,ACCOKEEK DRUG AND HEALTH CARE INC,15789 LIVINGSTON RD,SUITE 108,ACCOKEEK MD  20607,P02491,06/15/2000,05/31/2024,,38.671148,,1,-77.00958
5,"Acme Markets Inc, dba Sav-on Pharmacy #2862",101 BIG ELK MALL,,ELKTON MD  21921,P01945,01/03/1996,05/31/2024,,39.601731,,1,-75.826133
6,Advanced Pharmacy,8910  Route 108,Suite C,Columbia MD  21045,PW0476,07/02/2015,05/31/2024,,39.227788,,1,-76.821566
7,Adventist Healthcare Fort Washington Medical Center Inc,11711 LIVINGSTON ROAD,,FT WASHINGTON MD  20744,P08172,11/05/2019,05/31/2024,,38.728676,,1,-76.992606
8,Adventist HealthCare White Oak Medical Center,11890 Healing Way,,Silver Spring MD  20904,P08069,07/02/2019,05/31/2024,,39.066844,,0.5,-76.996866
9,Adventist Healthcare White Oak Medical Center-Takoma Park,7600 Carroll Avenue,,Takoma Park MD  20912,P08274,06/12/2020,05/31/2024,,38.985291,,1,-77.001306
10,"ADVENTIST HEALTHCARE, INC dba Shady Grove Medical Center",9901 Medical Center Drive,,Rockville MD  20850,P00847,04/18/1978,05/31/2024,,39.098283,,1,-77.198077
11,ADVENTIST REHABILITATION HOSPITAL,9909 MEDICAL CENTER DR,,ROCKVILLE MD  20850,P02549,01/08/2001,05/31/2024,,39.098464,,1,-77.200664
12,AGBI'S  COMPOUNDING  PHARMACY  LLC,605 Reisterstown Rd,,Pikesville MD  21208,PW0469,01/21/2015,05/31/2024,,39.369353,,1,-76.7178
