viz_name,pharmacies,neighborhood,average_min_distance,median_min_distance,max_min_distance,x2010_pop,x2010_pop_hisp,x2010_pop_white_non_hisp,x2010_pop_black_non_hisp,x2010_pop_aian_non_hisp,x2010_pop_asian_non_hisp,x2010_pop_nhpi_non_hisp,x2010_pop_other_non_hisp,x2010_pop_two_plus_non_hisp,x2020_pop,x2020_pop_hisp,x2020_pop_white_non_hisp,x2020_pop_black_non_hisp,x2020_pop_aian_non_hisp,x2020_pop_asian_non_hisp,x2020_pop_nhpi_non_hisp,x2020_pop_other_non_hisp,x2020_pop_two_plus_non_hisp,county,change_pop,change_pop_hisp,change_pop_white_non_hisp,change_pop_black_non_hisp,change_pop_aian_non_hisp,change_pop_asian_non_hisp,change_pop_nhpi_non_hisp,change_pop_other_non_hisp,change_pop_two_plus_non_hisp,pct_change_x2020_pop,pct_change_x2020_pop_hisp,pct_change_x2020_pop_white_non_hisp,pct_change_x2020_pop_black_non_hisp,pct_change_x2020_pop_aian_non_hisp,pct_change_x2020_pop_asian_non_hisp,pct_change_x2020_pop_nhpi_non_hisp,pct_change_x2020_pop_other_non_hisp,pct_change_x2020_pop_two_plus_non_hisp,x2010_pop_white_non_hisp_share,x2010_pop_black_non_hisp_share,x2010_pop_hisp_share,x2020_pop_white_non_hisp_share,x2020_pop_black_non_hisp_share,x2020_pop_hisp_share,x2020_majority_neighborhood_type,x2010_majority_neighborhood_type,majority_changed,color_pct_change_x2020_pop,color_pct_change_x2020_pop_hisp,color_pct_change_x2020_pop_white_non_hisp,color_pct_change_x2020_pop_black_non_hisp,color_pct_change_x2020_pop_aian_non_hisp,color_pct_change_x2020_pop_asian_non_hisp,color_pct_change_x2020_pop_nhpi_non_hisp,color_pct_change_x2020_pop_other_non_hisp,color_pct_change_x2020_pop_two_plus_non_hisp,viz_x2020_pop_white_non_hisp,viz_x2020_pop_black_non_hisp,viz_x2020_pop_hisp,viz_x2020_pop
Abell,0,abell,0.14817000103617506,0.14297194565825672,0.21546179717670752,1105,43,743,190,2,90,1,5,31,1058,66,661,154,1,108,0,4,65,baltimore city,-46,22,-82,-36,-1,18,-1,-1,34,-4.2,51.3,-11.1,-19,-49.9,20.1,-98.3,-20.7,110.7,67,17,4,62,15,6,majority white,majortiy white,yes,red,green,red,red,red,green,red,red,green,661,154,66,1058
Allendale,0,allendale,0.5175021405443936,0.5467990024216649,0.6583288772159601,4036,26,20,3946,9,5,0,0,30,3416,40,42,3256,10,7,1,5,56,baltimore city,-620,13,22,-690,1,2,1,5,26,-15.4,50.7,108.7,-17.5,9.8,33.8,100457.3,33566.5,87.9,0,98,1,1,95,1,majority black,majority black,no,red,green,green,red,green,green,green,green,green,42,3256,40,3416
Arcadia,0,arcadia,0.22801107822310096,0.23265492936641807,0.3889548384566603,1062,26,472,512,3,12,0,2,35,981,46,412,450,1,15,0,4,53,baltimore city,-81,20,-60,-63,-2,4,0,2,18,-7.6,76.4,-12.7,-12.3,-51.3,30.5,21658,78.7,52.1,44,48,2,42,46,5,majority minority,majority minority,no,red,green,red,red,red,green,green,green,green,412,450,46,981
Arlington,0,arlington,0.0932771169111223,0.10250395241372084,0.1776902629273262,2485,17,60,2354,3,8,0,3,39,2084,46,66,1885,5,22,1,1,58,baltimore city,-401,29,5,-469,3,14,1,-2,18,-16.1,168.2,8.8,-19.9,102.3,174.2,Inf,-53.1,46.6,2,95,1,3,90,2,majority black,majority black,no,red,green,green,red,green,green,green,red,green,66,1885,46,2084
Armistead Gardens,0,armistead gardens,0.4561404671512558,0.4861878101151473,0.6484815810265231,2638,642,1768,142,18,10,3,1,54,2937,1440,1118,213,7,30,0,19,109,baltimore city,299,799,-650,71,-11,20,-3,18,55,11.3,124.4,-36.8,49.8,-58.5,200.2,-91.9,2000.9,101.9,67,5,24,38,7,49,majority minority,majortiy white,yes,green,green,red,green,red,green,red,green,green,1118,213,1440,2937
Ashburton,0,ashburton,0.4033662247215193,0.408074094346187,0.7579830127243442,3528,42,35,3398,5,9,1,7,30,3118,79,48,2856,13,16,3,10,93,baltimore city,-410,37,12,-541,8,7,2,3,63,-11.6,86.1,35,-15.9,149.8,76.6,150.3,38.7,208.6,1,96,1,2,92,3,majority black,majority black,no,red,green,green,red,green,green,green,green,green,48,2856,79,3118
Baltimore Highlands,0,baltimore highlands,0.14206926032356318,0.1308162093636019,0.2628420675607399,1354,514,525,246,14,25,2,0,30,1502,895,373,162,7,25,0,6,34,baltimore city,148,382,-151,-84,-7,0,-2,5,4,10.9,74.4,-28.9,-34,-51.6,0.6,-100,3297.5,14.8,39,18,38,25,11,60,majority hispanic,majority minority,yes,green,green,red,red,red,green,red,green,green,373,162,895,1502
Barclay,0,barclay,0.19512340643776774,0.20320397446009086,0.3320099622606065,2065,84,403,1503,8,27,1,2,38,2706,197,696,1626,5,51,1,11,119,baltimore city,641,113,293,123,-3,24,-0,9,81,31,135.6,72.8,8.2,-34.5,90.4,-40,499.8,211.1,20,73,4,26,60,7,majority black,majority black,no,green,green,green,green,red,green,red,green,green,696,1626,197,2706
Barre Circle,0,barre circle,0.0721028208561237,0.0672750988411914,0.15386108574211202,160,5,56,91,1,4,0,1,4,157,11,46,85,1,7,0,1,7,baltimore city,-3,7,-10,-6,0,2,-0,1,3,-2,137.4,-18,-6.4,14,51,-3,120.3,78.9,35,57,3,29,54,7,majority black,majority black,no,red,green,red,red,green,green,red,green,green,46,85,11,157
Bayview,0,bayview,0.22015790894885695,0.21669142730269542,0.4165039425547036,366,92,226,25,1,13,0,1,8,445,230,147,41,1,12,0,3,11,baltimore city,79,139,-78,16,-0,-1,-0,1,3,21.5,151.2,-34.7,62,-12.5,-8.7,-100,94.7,39.4,62,7,25,33,9,52,majority hispanic,majortiy white,yes,green,green,red,green,red,red,red,green,green,147,41,230,445
