x1,name,address_1,address_2,city_state_zipcode,license_no,issue_date,expiration_date,unnamed_7,lat,accuracy,lng
1,abh pharmacy & medical supplies,219 s collins avenue,NA,baltimore md  21229,p02613,06/27/2001,05/31/2024,NA,39.282726,0.9,-76.6837
2,absolute care pharmacy,1040  park avenue,suite 200,baltimore md  21201,p08384,01/14/2021,05/31/2024,NA,39.303676,1,-76.619888
14,ahf pharmacy,11 e lexington street,NA,baltimore md  21202,p08109,07/17/2019,05/31/2024,NA,39.290898,1,-76.614537
21,alliance pharmacy plus,3400 annapolis road,NA,baltimore md  21227,p08533,02/01/2022,05/31/2024,NA,39.248199,1,-76.641214
25,alpha healthcare llc,3061 frederick ave,suite c,baltimore md  21223,p06876,06/17/2015,05/31/2024,NA,39.27984,1,-76.668537
26,alsbiz group inc premier care pharmacy,3539 dolfield avenue,NA,baltimore md  21215,p05925,04/25/2013,05/31/2024,NA,39.334945,1,-76.674326
30,amend rx at northern pharmacy and medical equipment,6701 harford road,suite b,baltimore md  21234,pw0368,11/19/2012,05/31/2024,NA,39.363403,1,-76.551353
42,ascension rx (#1208),900 s. caton ave.,NA,baltimore md  21229,p08158,12/03/2019,05/31/2024,NA,39.271586,1,-76.673103
43,"ascension st agnes, ascension st agnes hospital",900 caton avenue,pharmacy srvc box 201,baltimore md  21229,p00735,12/01/1978,05/31/2024,NA,39.271586,0.9,-76.673103
51,baltimore city pharmacy inc,807 east baltimore street,suite 1b,baltimore md  21202,p08675,11/17/2022,05/31/2024,NA,39.289914,1,-76.604923
53,baltimore medical systems inc,3120 erdman avenue,NA,baltimore md  21213,p04992,03/03/2009,05/31/2024,NA,39.321114,1,-76.57222
54,baltimore medical systems inc,900 s. caton ave,NA,baltimore md  21229,p05507,04/14/2011,05/31/2024,NA,39.271586,1,-76.673103
55,baltimore medical systems inc,3700 fleet street,suite 100,baltimore md  21224,p04991,03/03/2009,05/31/2024,NA,39.285932,1,-76.565862
59,bayview pharmacy,6510 o donnell st,NA,baltimore md  21224,p01845,11/20/2002,05/31/2024,NA,39.281952,1,-76.536469
61,behavioral pharmacology research unit,5510 nathan shock dr,johns hopkins bayview,baltimore md  21224,pw0337,05/03/2010,05/31/2024,NA,39.291278,1,-76.55006
